"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"132","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",50,56,FALSE,FALSE,"equal",NA,50,44,-6,"independent","con",NA,"4","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","24"
"1.1142","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","dozen","Knowable Facts","Knowable ","media",50,69,FALSE,FALSE,"equal",NA,50,69,19,"dependent","pro",NA,"1","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-3:TW-pro-0","5"
"1.2142","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","jellyfish","Knowable Facts","Knowable ","uni",50,25,FALSE,FALSE,"equal",NA,50,25,-25,"contested","pro","con","2","2",0.5,1,20.3191833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","2"
"1.332","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",74,68,FALSE,FALSE,"for",FALSE,74,68,-6,"contested","pro","con","2","2",0.5,1,20.3191833333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","16"
"1.432","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","loudestShout","Knowable Facts","Knowable ","media",50,27,FALSE,FALSE,"equal",NA,50,73,23,"independent","con",NA,"4","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","22"
"1.532","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","militaryService","Unknowable Preference","Unknowable","media",15,5,FALSE,TRUE,"against",FALSE,85,95,10,"independent","con",NA,"4","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","14"
"1.632","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","minorEarthquake","Knowable Eyewitness",NA,"media",50,93,FALSE,FALSE,"equal",NA,50,93,43,"independent","pro",NA,"4","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","10"
"1.732","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","nerd","Knowable Facts","Knowable ","media",50,63,FALSE,FALSE,"equal",NA,50,63,13,"independent","pro",NA,"4","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","13"
"1.832","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","noSmoking","Unknowable Preference","Unknowable","media",90,90,TRUE,FALSE,"for",FALSE,10,10,0,"dependent","con",NA,"1","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-1:TW-con-3","0"
"1.932","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","oldestTree","Knowable Eyewitness",NA,"media",50,76,FALSE,FALSE,"equal",NA,50,76,26,"independent","pro",NA,"4","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","17"
"1.1032","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","onlineLearning","Unknowable Expert","Unknowable","media",23,23,FALSE,TRUE,"against",FALSE,77,77,0,"independent","con",NA,"4","0",0.5,0.75,20.3191833333333,"disagrees:agrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-2:TW-con-1","28"
"1.1143","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","paintingFound","Knowable Eyewitness",NA,"media",50,84,FALSE,FALSE,"equal",NA,50,84,34,"dependent","pro",NA,"1","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","19"
"1.1234","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","plastic","Unknowable Preference","Unknowable","uni",88,87,TRUE,FALSE,"for",FALSE,12,13,1,"independent","con",NA,"4","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","18"
"1.1332","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","pumpkin","Knowable Eyewitness",NA,"media",50,39,FALSE,FALSE,"equal",NA,50,39,-11,"contested","pro","con","2","2",0.5,1,20.3191833333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-1:TW-pro-0:TW-con-1","15"
"1.1432","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","readingFiction","Unknowable Expert","Unknowable","uni",95,87,FALSE,FALSE,"for",FALSE,95,87,-8,"contested","pro","con","2","2",0.5,1,20.3191833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","9"
"1.1532","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","regulateCrypto","Unknowable Expert","Unknowable","uni",95,95,TRUE,FALSE,"for",FALSE,5,5,0,"dependent","con",NA,"1","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","8"
"1.1632","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","returnTheLoot","Unknowable Preference","Unknowable","media",72,71,FALSE,FALSE,"for",FALSE,72,71,-1,"contested","pro","con","2","2",0.5,1,20.3191833333333,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","20"
"1.1732","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","security","Unknowable Expert","Unknowable","media",46,40,TRUE,TRUE,"against",FALSE,46,40,-6,"contested","pro","con","2","2",0.5,1,20.3191833333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","26"
"1.1832","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","shortestWar","Knowable Facts","Knowable ","media",50,84,FALSE,FALSE,"equal",NA,50,84,34,"dependent","pro",NA,"1","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","23"
"1.1932","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","sinkhole","Knowable Eyewitness",NA,"media",50,4,FALSE,FALSE,"equal",NA,50,96,46,"dependent","con",NA,"1","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","4"
"1.2032","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","spaceEx","Unknowable Preference","Unknowable","uni",44,50,TRUE,TRUE,"against",FALSE,44,50,6,"independent","pro",NA,"4","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","11"
"1.2143","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","superPower","Unknowable Preference","Unknowable","media",10,10,FALSE,TRUE,"against",FALSE,90,90,0,"dependent","con",NA,"1","0",0.5,1,20.3191833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-1:TW-con-0","3"
"1.2234","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","tourism","Unknowable Expert","Unknowable","media",95,95,FALSE,FALSE,"for",FALSE,95,95,0,"contested","pro","con","2","2",0.5,0.75,20.3191833333333,"agrees:disagrees:agrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-pro-1:TW-con-1","1"
"1.2332","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","transportation","Unknowable Expert","Unknowable","uni",96,96,FALSE,FALSE,"for",FALSE,96,96,0,"contested","pro","con","2","2",0.5,1,20.3191833333333,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-1:TW-con-0:TW-con-1","25"
"1.2432","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","venus","Knowable Facts","Knowable ","uni",50,46,FALSE,FALSE,"equal",NA,50,46,-4,"contested","pro","con","2","2",0.5,1,20.3191833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","29"
"1.2532","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","votingAge","Unknowable Preference","Unknowable","uni",88,90,FALSE,FALSE,"for",FALSE,88,90,2,"dependent","pro",NA,"1","0",0.5,1,20.3191833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","12"
"1.2632","24","f14ac3e4-6ea2-4c9f-8fbb-75ce1da6e84b","1","B","warArtifact","Knowable Eyewitness",NA,"uni",50,32,FALSE,FALSE,"equal",NA,50,32,-18,"contested","pro","con","2","2",0.5,1,20.3191833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-pro-1:TW-con-0","6"
