"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"187","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",72,73,FALSE,FALSE,"for",FALSE,72,73,1,"dependent","pro",NA,"1","0",0.5,1,35.3661666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-1:TW-pro-0","15"
"1.1302","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","dozen","Knowable Facts","Knowable ","media",99,31,TRUE,FALSE,"for",TRUE,1,69,68,"independent","con",NA,"4","0",0.5,1,35.3661666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","26"
"1.2302","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","jellyfish","Knowable Facts","Knowable ","uni",68,98,FALSE,FALSE,"for",FALSE,68,98,30,"dependent","pro",NA,"1","0",0.5,1,35.3661666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","19"
"1.387","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",71,67,FALSE,FALSE,"for",FALSE,71,67,-4,"dependent","pro",NA,"1","0",0.5,1,35.3661666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","4"
"1.487","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","loudestShout","Knowable Facts","Knowable ","media",60,5,TRUE,FALSE,"for",TRUE,40,95,55,"dependent","con",NA,"1","0",0.5,1,35.3661666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","10"
"1.587","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","militaryService","Unknowable Preference","Unknowable","media",75,72,FALSE,FALSE,"for",FALSE,75,72,-3,"contested","pro","con","2","2",0.5,1,35.3661666666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-con-1:TW-pro-1","23"
"1.687","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","minorEarthquake","Knowable Eyewitness","Knowable ","media",79,3,TRUE,FALSE,"for",TRUE,21,97,76,"independent","con",NA,"4","0",0.5,1,35.3661666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-0:TW-con-2","27"
"1.787","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","nerd","Knowable Facts","Knowable ","media",29,7,TRUE,TRUE,"against",FALSE,29,7,-22,"contested","pro","con","2","2",0.5,1,35.3661666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","16"
"1.887","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","noSmoking","Unknowable Preference","Unknowable","media",2,0,TRUE,TRUE,"against",FALSE,2,0,-2,"independent","pro",NA,"4","0",0.5,1,35.3661666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","18"
"1.987","57","291b228e-3cf9-457e-93c3-fa1c26fc94cd","1","B","oldestTree","Knowable Eyewitness","Knowable ","media",74,9,TRUE,FALSE,"for",TRUE,26,91,65,"dependent","con",NA,"1","0",0.5,0.75,35.3661666666667,"disagrees:agrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","7"
