"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"192","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",86,70,TRUE,FALSE,"for",FALSE,14,30,16,"dependent","con",NA,"1","0",0.5,1,21.10765,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","29"
"1.1307","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","dozen","Knowable Facts","Knowable ","media",83,55,TRUE,FALSE,"for",FALSE,17,45,28,"dependent","con",NA,"1","0",0.5,1,21.10765,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","14"
"1.2307","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","jellyfish","Knowable Facts","Knowable ","uni",61,17,TRUE,FALSE,"for",TRUE,39,83,44,"dependent","con",NA,"1","0",0.5,1,21.10765,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","15"
"1.392","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",17,40,TRUE,TRUE,"against",FALSE,17,40,23,"independent","pro",NA,"4","0",0.5,1,21.10765,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-1:TW-pro-2","9"
"1.492","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","loudestShout","Knowable Facts","Knowable ","media",36,27,TRUE,TRUE,"against",FALSE,36,27,-9,"contested","pro","con","2","2",0.5,1,21.10765,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","18"
"1.592","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","militaryService","Unknowable Preference","Unknowable","media",75,59,FALSE,FALSE,"for",FALSE,75,59,-16,"contested","pro","con","2","2",0.5,1,21.10765,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","25"
"1.692","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","minorEarthquake","Knowable Eyewitness","Knowable ","media",62,82,FALSE,FALSE,"for",FALSE,62,82,20,"independent","pro",NA,"4","0",0.5,1,21.10765,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","1"
"1.792","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","nerd","Knowable Facts","Knowable ","media",30,56,TRUE,TRUE,"against",TRUE,30,56,26,"independent","pro",NA,"4","0",0.5,1,21.10765,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-1:TW-pro-0","28"
"1.892","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","noSmoking","Unknowable Preference","Unknowable","media",89,77,FALSE,FALSE,"for",FALSE,89,77,-12,"contested","pro","con","2","2",0.5,1,21.10765,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","20"
"1.992","60","e68f900e-b0bf-456a-b98d-0a96e46697fe","2","A","oldestTree","Knowable Eyewitness","Knowable ","media",55,75,FALSE,FALSE,"for",FALSE,55,75,20,"dependent","pro",NA,"1","0",0.5,1,21.10765,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","24"
