"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"171","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","aiBan","Unknowable Expert","Unknowable","uni",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,25.04855,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","26"
"1.1273","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","avocado","Unknowable Expert","Unknowable","media",29,29,TRUE,TRUE,"against",FALSE,29,29,0,"contested","pro","con","2","2",0.5,1,25.04855,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-1:TW-pro-0","0"
"1.2273","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","bank","Knowable Facts","Knowable ","media",72,0,TRUE,FALSE,"for",TRUE,28,100,72,"dependent","con",NA,"1","0",0.5,1,25.04855,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-1:TW-con-0","2"
"1.371","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","beautyPageants","Unknowable Preference","Unknowable","media",55,55,FALSE,FALSE,"for",FALSE,55,55,0,"independent","pro",NA,"4","0",0.5,1,25.04855,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","6"
"1.471","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","books","Unknowable Preference","Unknowable","media",60,60,TRUE,FALSE,"for",FALSE,40,40,0,"independent","con",NA,"4","0",0.5,1,25.04855,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-1:TW-con-0","15"
"1.571","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","burningBuilding","Knowable Eyewitness",NA,"media",69,80,FALSE,FALSE,"for",FALSE,69,80,11,"independent","pro",NA,"4","0",0.5,1,25.04855,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-3:TW-pro-1","14"
"1.671","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","chameleons","Knowable Facts","Knowable ","uni",95,86,TRUE,FALSE,"for",FALSE,5,14,9,"dependent","con",NA,"1","0",0.5,1,25.04855,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-0:TW-con-2","18"
"1.771","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","chessGrandmaster","Knowable Eyewitness",NA,"uni",80,90,FALSE,FALSE,"for",FALSE,80,90,10,"independent","pro",NA,"4","0",0.5,1,25.04855,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-1:TW-pro-0","10"
"1.871","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","cleanCoal","Unknowable Expert","Unknowable","uni",40,20,TRUE,TRUE,"against",FALSE,40,20,-20,"contested","pro","con","2","2",0.5,1,25.04855,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-1:TW-con-0:TW-pro-0","3"
"1.971","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","cleopatra","Knowable Facts","Knowable ","media",80,35,TRUE,FALSE,"for",TRUE,20,65,45,"independent","con",NA,"4","0",0.5,1,25.04855,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-0:TW-con-2","7"
"1.1071","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","cloud","Knowable Facts","Knowable ","uni",14,9,TRUE,TRUE,"against",FALSE,14,9,-5,"contested","pro","con","2","2",0.5,1,25.04855,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-0:TW-pro-1:TW-con-1","29"
"1.11110","49","2a5b501b-e74a-4633-8cb7-721435ad1463","1","A","dinosaurFossil","Knowable Eyewitness",NA,"uni",70,73,FALSE,FALSE,"for",FALSE,70,73,3,"dependent","pro",NA,"1","0",0.5,1,25.04855,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","22"
