"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"176","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",100,90,TRUE,FALSE,"for",FALSE,0,10,10,"independent","con",NA,"4","0",0.5,1,24.27465,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","8"
"1.1283","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","dozen","Knowable Facts","Knowable ","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"contested","pro","con","2","2",0.5,0.75,24.27465,"agrees:disagrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","9"
"1.2283","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","jellyfish","Knowable Facts","Knowable ","uni",95,50,FALSE,FALSE,"for",FALSE,95,50,-45,"contested","pro","con","2","2",0.5,1,24.27465,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","13"
"1.376","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",50,35,FALSE,FALSE,"equal",NA,50,65,15,"dependent","con",NA,"1","0",0.5,1,24.27465,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","22"
"1.476","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","loudestShout","Knowable Facts","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,24.27465,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-1:TW-con-0:TW-pro-0","15"
"1.576","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","militaryService","Unknowable Preference","Unknowable","media",80,80,FALSE,FALSE,"for",FALSE,80,80,0,"contested","pro","con","2","2",0.5,0.75,24.27465,"agrees:agrees:disagrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-con-0:TW-con-1","7"
"1.676","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","minorEarthquake","Knowable Eye witness","Knowable ","media",70,95,FALSE,FALSE,"for",FALSE,70,95,25,"independent","pro",NA,"4","0",0.5,1,24.27465,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","12"
"1.776","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","nerd","Knowable Facts","Knowable ","media",50,30,FALSE,FALSE,"equal",NA,50,70,20,"independent","con",NA,"4","0",0.5,1,24.27465,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","26"
"1.876","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","noSmoking","Unknowable Preference","Unknowable","media",50,60,FALSE,FALSE,"equal",NA,50,60,10,"independent","pro",NA,"4","0",0.5,1,24.27465,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-3:TW-pro-1","4"
"1.976","52","1197627c-bb56-4bcd-bce6-080e0797bd19","2","A","oldestTree","Knowable Eye witness","Knowable ","media",50,10,FALSE,FALSE,"equal",NA,50,90,40,"dependent","con",NA,"1","0",0.5,1,24.27465,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","27"
