"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"186","56","d04daf98-db68-453c-b850-423d9527186f","2","B","aiBan","Unknowable Expert","Unknowable","uni",40,30,FALSE,TRUE,"against",FALSE,60,70,10,"independent","con",NA,"4","0",0.5,1,104.414683333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","23"
"1.1301","56","d04daf98-db68-453c-b850-423d9527186f","2","B","avocado","Unknowable Expert","Unknowable","media",68,87,FALSE,FALSE,"for",FALSE,68,87,19,"dependent","pro",NA,"1","0",0.5,1,104.414683333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-1:TW-pro-0","13"
"1.2301","56","d04daf98-db68-453c-b850-423d9527186f","2","B","bank","Knowable Facts","Knowable ","media",50,92,FALSE,FALSE,"equal",NA,50,92,42,"dependent","pro",NA,"1","0",0.5,1,104.414683333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","1"
"1.386","56","d04daf98-db68-453c-b850-423d9527186f","2","B","beautyPageants","Unknowable Preference","Unknowable","media",73,48,TRUE,FALSE,"for",TRUE,27,52,25,"independent","con",NA,"4","0",0.5,1,104.414683333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","8"
"1.486","56","d04daf98-db68-453c-b850-423d9527186f","2","B","books","Unknowable Preference","Unknowable","media",75,82,FALSE,FALSE,"for",FALSE,75,82,7,"contested","pro","con","2","2",0.5,1,104.414683333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","20"
"1.586","56","d04daf98-db68-453c-b850-423d9527186f","2","B","burningBuilding","Knowable Eye witness","Knowable ","media",72,6,TRUE,FALSE,"for",TRUE,28,94,66,"independent","con",NA,"4","0",0.5,1,104.414683333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","24"
"1.686","56","d04daf98-db68-453c-b850-423d9527186f","2","B","chameleons","Knowable Facts","Knowable ","uni",40,62,TRUE,TRUE,"against",TRUE,40,62,22,"contested","pro","con","2","2",0.5,1,104.414683333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","6"
"1.786","56","d04daf98-db68-453c-b850-423d9527186f","2","B","chessGrandmaster","Knowable Eye witness","Knowable ","uni",51,91,FALSE,FALSE,"for",FALSE,51,91,40,"independent","pro",NA,"4","0",0.5,1,104.414683333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-0:TW-pro-3","22"
"1.886","56","d04daf98-db68-453c-b850-423d9527186f","2","B","cleanCoal","Unknowable Expert","Unknowable","uni",39,62,TRUE,TRUE,"against",TRUE,39,62,23,"independent","pro",NA,"4","0",0.5,1,104.414683333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","2"
"1.986","56","d04daf98-db68-453c-b850-423d9527186f","2","B","cleopatra","Knowable Facts","Knowable ","media",87,45,TRUE,FALSE,"for",TRUE,13,55,42,"dependent","con",NA,"1","0",0.5,1,104.414683333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-2:TW-con-1","25"
