"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"1","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",100,98,TRUE,FALSE,"for",FALSE,0,2,2,"dependent","con",NA,"1","0",0.5,1,47.78365,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","19"
"1.1","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","dozen","Knowable Facts","Knowable ","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","20"
"1.2","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","jellyfish","Knowable Facts","Knowable ","uni",80,65,FALSE,FALSE,"for",FALSE,80,65,-15,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","8"
"1.3","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",100,100,TRUE,FALSE,"for",FALSE,0,0,0,"independent","con",NA,"4","0",0.5,1,47.78365,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","15"
"1.4","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","loudestShout","Knowable Facts","Knowable ","media",60,65,FALSE,FALSE,"for",FALSE,60,65,5,"dependent","pro",NA,"1","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-3:TW-pro-1","5"
"1.5","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","militaryService","Unknowable Preference","Unknowable","media",0,0,TRUE,TRUE,"against",FALSE,0,0,0,"independent","pro",NA,"4","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","11"
"1.6","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","minorEarthquake","Knowable Eyewitness","Knowable ","media",90,75,FALSE,FALSE,"for",FALSE,90,75,-15,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-0:TW-pro-1","13"
"1.7","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","nerd","Knowable Facts","Knowable ","media",75,65,TRUE,FALSE,"for",FALSE,25,35,10,"dependent","con",NA,"1","0",0.5,1,47.78365,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-3:TW-con-0","9"
"1.8","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","noSmoking","Unknowable Preference","Unknowable","media",90,95,FALSE,FALSE,"for",FALSE,90,95,5,"contested","pro","con","2","2",0.5,1,47.78365,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-1:TW-con-0:TW-pro-0","3"
"1.9","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","oldestTree","Knowable Eyewitness","Knowable ","media",60,50,FALSE,FALSE,"for",FALSE,60,50,-10,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","2"
"1.10","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","onlineLearning","Unknowable Expert","Unknowable","media",30,40,TRUE,TRUE,"against",FALSE,30,40,10,"independent","pro",NA,"4","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","18"
"1.11","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","paintingFound","Knowable Eyewitness","Knowable ","media",10,30,TRUE,TRUE,"against",FALSE,10,30,20,"independent","pro",NA,"4","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-1:TW-pro-2","0"
"1.12","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","plastic","Unknowable Preference","Unknowable","uni",40,25,FALSE,TRUE,"against",FALSE,60,75,15,"independent","con",NA,"4","0",0.5,0,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-con-3:TW-con-2:TW-con-1:TW-con-0","28"
"1.13","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","pumpkin","Knowable Eyewitness","Knowable ","media",60,35,TRUE,FALSE,"for",TRUE,40,65,25,"dependent","con",NA,"1","0",0.5,1,47.78365,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","12"
"1.14","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","readingFiction","Unknowable Expert","Unknowable","uni",75,80,FALSE,FALSE,"for",FALSE,75,80,5,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","29"
"1.15","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","regulateCrypto","Unknowable Expert","Unknowable","uni",45,50,FALSE,TRUE,"against",FALSE,55,50,-5,"independent","con",NA,"4","0",0.5,1,47.78365,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-3:TW-con-0","10"
"1.16","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","returnTheLoot","Unknowable Preference","Unknowable","media",35,30,FALSE,TRUE,"against",FALSE,65,70,5,"dependent","con",NA,"1","0",0.5,0,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-con-2:TW-con-1:TW-con-3:TW-con-0","7"
"1.17","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","security","Unknowable Expert","Unknowable","media",55,55,FALSE,FALSE,"for",FALSE,55,55,0,"dependent","pro",NA,"1","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","24"
"1.18","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","shortestWar","Knowable Facts","Knowable ","media",85,85,FALSE,FALSE,"for",FALSE,85,85,0,"contested","pro","con","2","2",0.5,0.75,47.78365,"agrees:agrees:agrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","25"
"1.19","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","sinkhole","Knowable Eyewitness","Knowable ","media",60,75,FALSE,FALSE,"for",FALSE,60,75,15,"independent","pro",NA,"4","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-0:TW-pro-1:TW-pro-3","27"
"1.20","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","spaceEx","Unknowable Preference","Unknowable","uni",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"dependent","pro",NA,"1","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-1:TW-pro-2","23"
"1.21","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","superPower","Unknowable Preference","Unknowable","media",85,90,FALSE,FALSE,"for",FALSE,85,90,5,"contested","pro","con","2","2",0.5,1,47.78365,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-con-1:TW-pro-1","6"
"1.22","1","3b68ea0d-2199-4578-b399-587e89b50ddd","2","A","tourism","Unknowable Expert","Unknowable","media",70,75,FALSE,FALSE,"for",FALSE,70,75,5,"dependent","pro",NA,"1","0",0.5,1,47.78365,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","26"
