"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"198","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","aiBan","Unknowable Expert","Unknowable","uni",100,90,TRUE,FALSE,"for",FALSE,0,10,10,"dependent","con",NA,"1","0",0.5,1,43.1022166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","21"
"1.1400","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","avocado","Unknowable Expert","Unknowable","media",50,30,FALSE,FALSE,"equal",NA,50,70,20,"dependent","con",NA,"1","0",0.5,1,43.1022166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","13"
"1.2400","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","bank","Knowable Facts","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,43.1022166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","26"
"1.398","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","beautyPageants","Unknowable Preference","Unknowable","media",50,60,FALSE,FALSE,"equal",NA,50,60,10,"contested","pro","con","2","2",0.5,1,43.1022166666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-pro-1:TW-con-0","18"
"1.498","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","books","Unknowable Preference","Unknowable","media",75,80,FALSE,FALSE,"for",FALSE,75,80,5,"independent","pro",NA,"4","0",0.5,1,43.1022166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","29"
"1.598","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","burningBuilding","Knowable Eyewitness",NA,"media",50,90,FALSE,FALSE,"equal",NA,50,90,40,"independent","pro",NA,"4","0",0.5,1,43.1022166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-1:TW-pro-0","25"
"1.698","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","chameleons","Knowable Facts","Knowable ","uni",60,60,FALSE,FALSE,"for",FALSE,60,60,0,"dependent","pro",NA,"1","0",0.5,1,43.1022166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","11"
"1.798","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","chessGrandmaster","Knowable Eyewitness",NA,"uni",75,10,TRUE,FALSE,"for",TRUE,25,90,65,"independent","con",NA,"4","0",0.5,1,43.1022166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","2"
"1.898","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","cleanCoal","Unknowable Expert","Unknowable","uni",50,25,FALSE,FALSE,"equal",NA,50,75,25,"independent","con",NA,"4","0",0.5,1,43.1022166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","19"
"1.998","62","77990bc4-3813-4631-9b2b-5fcf2d2d22cc","1","A","cleopatra","Knowable Facts","Knowable ","media",35,80,FALSE,TRUE,"against",TRUE,65,20,-45,"dependent","con",NA,"1","0",0.5,1,43.1022166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-1:TW-con-3","22"
