"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"164","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",98,99,FALSE,FALSE,"for",FALSE,98,99,1,"contested","pro","con","2","2",0.5,1,11.9984333333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-0:TW-pro-1:TW-con-0","16"
"1.1203","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","dozen","Knowable Facts","Knowable ","media",61,42,TRUE,FALSE,"for",TRUE,39,58,19,"independent","con",NA,"4","0",0.5,1,11.9984333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","15"
"1.2203","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","jellyfish","Knowable Facts","Knowable ","uni",55,64,FALSE,FALSE,"for",FALSE,55,64,9,"independent","pro",NA,"4","0",0.5,1,11.9984333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-0:TW-pro-3:TW-pro-1","3"
"1.364","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",43,16,FALSE,TRUE,"against",FALSE,57,84,27,"dependent","con",NA,"1","0",0.5,1,11.9984333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","27"
"1.464","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","loudestShout","Knowable Facts","Knowable ","media",68,64,FALSE,FALSE,"for",FALSE,68,64,-4,"independent","pro",NA,"4","0",0.5,1,11.9984333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","7"
"1.564","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","militaryService","Unknowable Preference","Unknowable","media",24,26,TRUE,TRUE,"against",FALSE,24,26,2,"contested","pro","con","2","2",0.5,1,11.9984333333333,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-con-1:TW-pro-1","29"
"1.664","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","minorEarthquake","Knowable Eyewitness","Knowable ","media",64,76,FALSE,FALSE,"for",FALSE,64,76,12,"contested","pro","con","2","2",0.5,1,11.9984333333333,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","13"
"1.764","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","nerd","Knowable Facts","Knowable ","media",54,40,TRUE,FALSE,"for",TRUE,46,60,14,"independent","con",NA,"4","0",0.5,1,11.9984333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","22"
"1.864","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","noSmoking","Unknowable Preference","Unknowable","media",99,100,TRUE,FALSE,"for",FALSE,1,0,-1,"dependent","con",NA,"1","0",0.5,1,11.9984333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","25"
"1.964","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","oldestTree","Knowable Eyewitness","Knowable ","media",52,52,FALSE,FALSE,"for",FALSE,52,52,0,"contested","pro","con","2","2",0.5,1,11.9984333333333,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","1"
"1.1064","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","onlineLearning","Unknowable Expert","Unknowable","media",94,98,FALSE,FALSE,"for",FALSE,94,98,4,"independent","pro",NA,"4","0",0.5,1,11.9984333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","18"
"1.11103","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","paintingFound","Knowable Eyewitness","Knowable ","media",19,12,FALSE,TRUE,"against",FALSE,81,88,7,"independent","con",NA,"4","0",0.5,1,11.9984333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-0:TW-con-2","24"
"1.1266","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","plastic","Unknowable Preference","Unknowable","uni",98,100,FALSE,FALSE,"for",FALSE,98,100,2,"contested","pro","con","2","2",0.5,1,11.9984333333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-pro-1:TW-con-0","20"
"1.1364","45","5d0639eb-e6a1-47a9-8ec1-d117c94c1a10","2","A","pumpkin","Knowable Eyewitness","Knowable ","media",57,32,FALSE,FALSE,"for",TRUE,57,32,-25,"contested","pro","con","2","2",0.5,1,11.9984333333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","5"
