"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"168","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",81,99,FALSE,FALSE,"for",FALSE,81,99,18,"dependent","pro",NA,"1","0",0.5,1,29.7195,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","0"
"1.1207","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","dozen","Knowable Facts","Knowable ","media",54,60,FALSE,FALSE,"for",FALSE,54,60,6,"contested","pro","con","2","2",0.5,1,29.7195,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","22"
"1.2207","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","jellyfish","Knowable Facts","Knowable ","uni",61,15,TRUE,FALSE,"for",TRUE,39,85,46,"independent","con",NA,"4","0",0.5,1,29.7195,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","24"
"1.368","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",66,11,TRUE,FALSE,"for",TRUE,34,89,55,"dependent","con",NA,"1","0",0.5,1,29.7195,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","18"
"1.468","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","loudestShout","Knowable Facts","Knowable ","media",85,66,FALSE,FALSE,"for",FALSE,85,66,-19,"contested","pro","con","2","2",0.5,1,29.7195,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-1:TW-con-0:TW-con-1","14"
"1.568","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","militaryService","Unknowable Preference","Unknowable","media",70,80,FALSE,FALSE,"for",FALSE,70,80,10,"contested","pro","con","2","2",0.5,0.75,29.7195,"agrees:disagrees:agrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-pro-1:TW-con-1","19"
"1.668","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","minorEarthquake","Knowable Eyewitness",NA,"media",100,1,TRUE,FALSE,"for",TRUE,0,99,99,"independent","con",NA,"4","0",0.5,1,29.7195,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","21"
"1.768","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","nerd","Knowable Facts","Knowable ","media",67,100,FALSE,FALSE,"for",FALSE,67,100,33,"dependent","pro",NA,"1","0",0.5,1,29.7195,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","10"
"1.868","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","noSmoking","Unknowable Preference","Unknowable","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"contested","pro","con","2","2",0.5,1,29.7195,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","6"
"1.968","48","e780fb58-eb37-4bd7-b459-65896d31e5e1","2","A","oldestTree","Knowable Eyewitness",NA,"media",86,90,FALSE,FALSE,"for",FALSE,86,90,4,"contested","pro","con","2","2",0.5,1,29.7195,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-1:TW-con-0:TW-pro-0","28"
