"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"1159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","aiBan","Unknowable Expert","Unknowable","uni",20,7,FALSE,TRUE,"against",FALSE,80,93,13,"independent","con",NA,"4","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","0"
"1.11001","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","avocado","Unknowable Expert","Unknowable","media",61,100,FALSE,FALSE,"for",FALSE,61,100,39,"independent","pro",NA,"4","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","28"
"1.21001","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","bank","Knowable Facts","Knowable ","media",50,25,FALSE,FALSE,"equal",NA,50,25,-25,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","4"
"1.3159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","beautyPageants","Unknowable Preference","Unknowable","media",79,100,FALSE,FALSE,"for",FALSE,79,100,21,"dependent","pro",NA,"1","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-0:TW-pro-3","27"
"1.4159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","books","Unknowable Preference","Unknowable","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-0:TW-con-1","8"
"1.5159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","burningBuilding","Knowable Eyewitness",NA,"media",20,36,TRUE,TRUE,"against",FALSE,20,36,16,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","7"
"1.6159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","chameleons","Knowable Facts","Knowable ","uni",100,57,FALSE,FALSE,"for",FALSE,100,57,-43,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-1:TW-con-1:TW-con-0","17"
"1.7159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","chessGrandmaster","Knowable Eyewitness",NA,"uni",83,100,FALSE,FALSE,"for",FALSE,83,100,17,"dependent","pro",NA,"1","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","21"
"1.8159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","cleanCoal","Unknowable Expert","Unknowable","uni",50,70,FALSE,FALSE,"equal",NA,50,70,20,"independent","pro",NA,"4","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-3:TW-pro-1","1"
"1.9159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","cleopatra","Knowable Facts","Knowable ","media",80,11,FALSE,FALSE,"for",TRUE,80,11,-69,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-pro-1:TW-con-0","25"
"1.10159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","cloud","Knowable Facts","Knowable ","uni",1,0,FALSE,TRUE,"against",FALSE,99,100,1,"independent","con",NA,"4","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-2:TW-con-3","3"
"1.11198","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","dinosaurFossil","Knowable Eyewitness",NA,"uni",50,0,FALSE,FALSE,"equal",NA,50,100,50,"dependent","con",NA,"1","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","9"
"1.12175","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","dogsOrCats","Unknowable Preference","Unknowable","uni",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","24"
"1.13162","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","duckQuack","Knowable Facts","Knowable ","uni",50,26,FALSE,FALSE,"equal",NA,50,26,-24,"contested","pro","con","2","2",0.5,1,38.8086666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","2"
"1.14159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","ducks","Knowable Eyewitness",NA,"media",70,8,TRUE,FALSE,"for",TRUE,30,92,62,"independent","con",NA,"4","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","6"
"1.15159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","eiffelTower","Knowable Facts","Knowable ","media",72,100,FALSE,FALSE,"for",FALSE,72,100,28,"dependent","pro",NA,"1","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","11"
"1.16159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","elephantsEscape","Knowable Eyewitness",NA,"media",36,100,TRUE,TRUE,"against",TRUE,36,100,64,"dependent","pro",NA,"1","0",0.5,0,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","13"
"1.17159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","enormousPearl","Knowable Eyewitness",NA,"uni",0,29,TRUE,TRUE,"against",FALSE,0,29,29,"contested","pro","con","2","2",0.5,1,38.8086666666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","23"
"1.18159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","fishing","Unknowable Preference","Unknowable","media",70,0,TRUE,FALSE,"for",TRUE,30,100,70,"dependent","con",NA,"1","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","18"
"1.19159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","gmoCrops","Unknowable Expert","Unknowable","uni",50,55,FALSE,FALSE,"equal",NA,50,55,5,"contested","pro","con","2","2",0.5,0,38.8086666666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-con-0:TW-con-1","12"
"1.20159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","goNuclear","Unknowable Expert","Unknowable","uni",49,16,FALSE,TRUE,"against",FALSE,51,84,33,"dependent","con",NA,"1","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","16"
"1.21198","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","greenSpaces","Unknowable Expert","Unknowable","uni",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"dependent","pro",NA,"1","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","20"
"1.22175","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","hardLabour","Unknowable Preference","Unknowable","uni",75,88,FALSE,FALSE,"for",FALSE,75,88,13,"contested","pro","con","2","2",0.5,1,38.8086666666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","15"
"1.23162","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","honey","Knowable Facts","Knowable ","uni",80,9,TRUE,FALSE,"for",TRUE,20,91,71,"dependent","con",NA,"1","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","5"
"1.24159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","mathematicsSolve","Knowable Eyewitness",NA,"media",55,100,FALSE,FALSE,"for",FALSE,55,100,45,"independent","pro",NA,"4","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","29"
"1.25159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","narcissism","Unknowable Expert","Unknowable","media",100,9,TRUE,FALSE,"for",TRUE,0,91,91,"independent","con",NA,"4","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","19"
"1.26159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","rescueMission","Knowable Eyewitness",NA,"media",76,100,FALSE,FALSE,"for",FALSE,76,100,24,"independent","pro",NA,"4","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-1:TW-pro-2","26"
"1.27159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","schoolUniforms","Unknowable Preference","Unknowable","uni",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"independent","pro",NA,"4","0",0.5,1,38.8086666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-3:TW-pro-0","22"
"1.28159","77","533577ee-57e4-41a3-99d5-e3bd59250f04","2","B","socialPublishers","Unknowable Preference","Unknowable","uni",67,50,TRUE,FALSE,"for",FALSE,33,50,17,"independent","con",NA,"4","0",0.5,1,38.8086666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","14"
