"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"19","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",75,75,FALSE,FALSE,"for",FALSE,75,75,0,"contested","pro","con","2","2",0.5,1,24.92415,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-1:TW-con-0:TW-con-1","29"
"1.130","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","dozen","Knowable Facts","Knowable ","media",80,100,FALSE,FALSE,"for",FALSE,80,100,20,"independent","pro",NA,"4","0",0.5,1,24.92415,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","6"
"1.230","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","jellyfish","Knowable Facts","Knowable ","uni",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,24.92415,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","2"
"1.39","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"dependent","pro",NA,"1","0",0.5,1,24.92415,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","0"
"1.49","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","loudestShout","Knowable Facts","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,24.92415,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","27"
"1.59","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","militaryService","Unknowable Preference","Unknowable","media",0,0,FALSE,TRUE,"against",FALSE,100,100,0,"independent","con",NA,"4","0",0.5,1,24.92415,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","20"
"1.69","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","minorEarthquake","Knowable Eye witness","Knowable ","media",50,25,FALSE,FALSE,"equal",NA,50,75,25,"independent","con",NA,"4","0",0.5,1,24.92415,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","18"
"1.79","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","nerd","Knowable Facts","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"independent","con",NA,"4","0",0.5,1,24.92415,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","17"
"1.89","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","noSmoking","Unknowable Preference","Unknowable","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"dependent","pro",NA,"1","0",0.5,1,24.92415,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","16"
"1.99","8","c86f88a2-7588-4524-b589-9d02d34f6c08","2","A","oldestTree","Knowable Eye witness","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"dependent","pro",NA,"1","0",0.5,1,24.92415,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-0:TW-pro-3","15"
