"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"121","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",82,90,FALSE,FALSE,"for",FALSE,82,90,8,"independent","pro",NA,"4","0",0.5,1,64.8129,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","1"
"1.1105","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","dozen","Knowable Facts","Knowable ","media",57,76,FALSE,FALSE,"for",FALSE,57,76,19,"dependent","pro",NA,"1","0",0.5,1,64.8129,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-2:TW-pro-3","7"
"1.2105","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","jellyfish","Knowable Facts","Knowable ","uni",75,23,TRUE,FALSE,"for",TRUE,25,77,52,"dependent","con",NA,"1","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","21"
"1.321","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",57,0,TRUE,FALSE,"for",TRUE,43,100,57,"independent","con",NA,"4","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","18"
"1.421","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","loudestShout","Knowable Facts","Knowable ","media",64,85,FALSE,FALSE,"for",FALSE,64,85,21,"independent","pro",NA,"4","0",0.5,1,64.8129,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","20"
"1.521","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","militaryService","Unknowable Preference","Unknowable","media",32,22,FALSE,TRUE,"against",FALSE,68,78,10,"independent","con",NA,"4","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","3"
"1.621","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","minorEarthquake","Knowable Eyewitness","Knowable ","media",74,47,FALSE,FALSE,"for",TRUE,74,47,-27,"contested","pro","con","2","2",0.5,0.75,64.8129,"agrees:disagrees:disagrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-con-1:TW-pro-0","28"
"1.721","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","nerd","Knowable Facts","Knowable ","media",63,28,TRUE,FALSE,"for",TRUE,37,72,35,"dependent","con",NA,"1","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","8"
"1.821","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","noSmoking","Unknowable Preference","Unknowable","media",66,74,FALSE,FALSE,"for",FALSE,66,74,8,"dependent","pro",NA,"1","0",0.5,1,64.8129,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","17"
"1.921","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","oldestTree","Knowable Eyewitness","Knowable ","media",24,12,TRUE,TRUE,"against",FALSE,24,12,-12,"contested","pro","con","2","2",0.5,1,64.8129,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","15"
"1.1021","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","onlineLearning","Unknowable Expert","Unknowable","media",64,52,FALSE,FALSE,"for",FALSE,64,52,-12,"contested","pro","con","2","2",0.5,1,64.8129,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","12"
"1.1125","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","paintingFound","Knowable Eyewitness","Knowable ","media",38,20,FALSE,TRUE,"against",FALSE,62,80,18,"independent","con",NA,"4","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","9"
"1.1223","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","plastic","Unknowable Preference","Unknowable","uni",89,98,FALSE,FALSE,"for",FALSE,89,98,9,"independent","pro",NA,"4","0",0.5,1,64.8129,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-2:TW-pro-1","26"
"1.1321","16","978b7748-cc9f-4131-9a58-a3d0d0925085","2","A","pumpkin","Knowable Eyewitness","Knowable ","media",14,6,FALSE,TRUE,"against",FALSE,86,94,8,"independent","con",NA,"4","0",0.5,1,64.8129,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","13"
