"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"120","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",55,45,TRUE,FALSE,"for",TRUE,45,55,10,"independent","con",NA,"4","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","29"
"1.1104","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","dozen","Knowable Facts","Knowable ","media",100,90,FALSE,FALSE,"for",FALSE,100,90,-10,"contested","pro","con","2","2",0.5,1,28.0781166666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-0:TW-con-1","8"
"1.2104","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","jellyfish","Knowable Facts","Knowable ","uni",55,0,TRUE,FALSE,"for",TRUE,45,100,55,"dependent","con",NA,"1","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","20"
"1.320","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",40,75,TRUE,TRUE,"against",TRUE,40,75,35,"dependent","pro",NA,"1","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","6"
"1.420","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","loudestShout","Knowable Facts","Knowable ","media",45,75,TRUE,TRUE,"against",TRUE,45,75,30,"dependent","pro",NA,"1","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-0:TW-pro-2","26"
"1.520","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","militaryService","Unknowable Preference","Unknowable","media",10,5,FALSE,TRUE,"against",FALSE,90,95,5,"dependent","con",NA,"1","0",0.5,0.75,28.0781166666667,"agrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","16"
"1.620","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","minorEarthquake","Knowable Eyewitness",NA,"media",55,100,FALSE,FALSE,"for",FALSE,55,100,45,"independent","pro",NA,"4","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","3"
"1.720","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","nerd","Knowable Facts","Knowable ","media",52,49,FALSE,FALSE,"for",TRUE,52,49,-3,"contested","pro","con","2","2",0.5,1,28.0781166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","22"
"1.820","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","noSmoking","Unknowable Preference","Unknowable","media",30,0,FALSE,TRUE,"against",FALSE,70,100,30,"dependent","con",NA,"1","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-0:TW-con-2","9"
"1.920","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","oldestTree","Knowable Eyewitness",NA,"media",51,100,FALSE,FALSE,"for",FALSE,51,100,49,"independent","pro",NA,"4","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","12"
"1.1020","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","onlineLearning","Unknowable Expert","Unknowable","media",45,35,FALSE,TRUE,"against",FALSE,55,65,10,"independent","con",NA,"4","0",0.5,0.75,28.0781166666667,"disagrees:disagrees:disagrees:agrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","24"
"1.1124","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","paintingFound","Knowable Eyewitness",NA,"media",21,0,FALSE,TRUE,"against",FALSE,79,100,21,"independent","con",NA,"4","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","0"
"1.1222","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","plastic","Unknowable Preference","Unknowable","uni",38,10,FALSE,TRUE,"against",FALSE,62,90,28,"dependent","con",NA,"1","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","10"
"1.1320","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","pumpkin","Knowable Eyewitness",NA,"media",51,100,FALSE,FALSE,"for",FALSE,51,100,49,"independent","pro",NA,"4","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","27"
"1.1420","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","readingFiction","Unknowable Expert","Unknowable","uni",65,60,FALSE,FALSE,"for",FALSE,65,60,-5,"contested","pro","con","2","2",0.5,1,28.0781166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-0:TW-pro-1:TW-con-0","15"
"1.1520","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","regulateCrypto","Unknowable Expert","Unknowable","uni",100,75,TRUE,FALSE,"for",FALSE,0,25,25,"dependent","con",NA,"1","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","13"
"1.1620","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","returnTheLoot","Unknowable Preference","Unknowable","media",45,50,TRUE,TRUE,"against",FALSE,45,50,5,"independent","pro",NA,"4","0",0.5,0.75,28.0781166666667,"disagrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","19"
"1.1720","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","security","Unknowable Expert","Unknowable","media",55,70,FALSE,FALSE,"for",FALSE,55,70,15,"dependent","pro",NA,"1","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","18"
"1.1820","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","shortestWar","Knowable Facts","Knowable ","media",60,50,FALSE,FALSE,"for",FALSE,60,50,-10,"contested","pro","con","2","2",0.5,1,28.0781166666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","5"
"1.1920","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","sinkhole","Knowable Eyewitness",NA,"media",52,100,FALSE,FALSE,"for",FALSE,52,100,48,"dependent","pro",NA,"1","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","21"
"1.2020","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","spaceEx","Unknowable Preference","Unknowable","uni",75,65,FALSE,FALSE,"for",FALSE,75,65,-10,"contested","pro","con","2","2",0.5,0.75,28.0781166666667,"disagrees:agrees:disagrees:disagrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","25"
"1.2124","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","superPower","Unknowable Preference","Unknowable","media",60,70,FALSE,FALSE,"for",FALSE,60,70,10,"independent","pro",NA,"4","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-0:TW-pro-2","28"
"1.2222","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","tourism","Unknowable Expert","Unknowable","media",60,55,TRUE,FALSE,"for",FALSE,40,45,5,"independent","con",NA,"4","0",0.5,0.75,28.0781166666667,"agrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","17"
"1.2320","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","transportation","Unknowable Expert","Unknowable","uni",60,75,FALSE,FALSE,"for",FALSE,60,75,15,"contested","pro","con","2","2",0.5,1,28.0781166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","4"
"1.2420","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","venus","Knowable Facts","Knowable ","uni",52,100,FALSE,FALSE,"for",FALSE,52,100,48,"contested","pro","con","2","2",0.5,0.5,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-con-1:TW-con-0","14"
"1.2520","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","votingAge","Unknowable Preference","Unknowable","uni",19,5,TRUE,TRUE,"against",FALSE,19,5,-14,"contested","pro","con","2","2",0.5,0.75,28.0781166666667,"disagrees:agrees:agrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","1"
"1.2620","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","warArtifact","Knowable Eyewitness",NA,"uni",51,45,FALSE,FALSE,"for",TRUE,51,45,-6,"contested","pro","con","2","2",0.5,1,28.0781166666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","2"
"1.2720","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","winningCookies","Knowable Eyewitness",NA,"media",60,0,TRUE,FALSE,"for",TRUE,40,100,60,"independent","con",NA,"4","0",0.5,1,28.0781166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-0:TW-con-2","7"
"1.2820","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","workFromHome","Unknowable Expert","Unknowable","uni",30,40,TRUE,TRUE,"against",FALSE,30,40,10,"contested","pro","con","2","2",0.5,1,28.0781166666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","11"
"1.2920","15","2f098239-e168-40ca-8f7c-218addb3abd9","1","B","writeOrType","Unknowable Expert","Unknowable","media",45,55,TRUE,TRUE,"against",TRUE,45,55,10,"dependent","pro",NA,"1","0",0.5,1,28.0781166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","23"
"1187","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","aiBan","Unknowable Expert","Unknowable","uni",40,20,FALSE,TRUE,"against",FALSE,60,80,20,"dependent","con",NA,"1","0",0.5,1,30.91815,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-1:TW-con-3","22"
"1.11029","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","avocado","Unknowable Expert","Unknowable","media",45,20,FALSE,TRUE,"against",FALSE,55,80,25,"independent","con",NA,"4","0",0.5,0,30.91815,"agrees:agrees:agrees:agrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","25"
"1.21029","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","bank","Knowable Facts","Knowable ","media",51,50,FALSE,FALSE,"for",FALSE,51,50,-1,"contested","pro","con","2","2",0.5,1,30.91815,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","6"
"1.3187","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","beautyPageants","Unknowable Preference","Unknowable","media",45,50,TRUE,TRUE,"against",FALSE,45,50,5,"independent","pro",NA,"4","0",0.5,1,30.91815,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","19"
"1.4187","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","books","Unknowable Preference","Unknowable","media",30,35,TRUE,TRUE,"against",FALSE,30,35,5,"contested","pro","con","2","2",0.5,1,30.91815,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","28"
"1.5187","15","2f098239-e168-40ca-8f7c-218addb3abd9","2","B","burningBuilding","Knowable Eyewitness",NA,"media",55,0,TRUE,FALSE,"for",TRUE,45,100,55,"independent","con",NA,"4","0",0.5,1,30.91815,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","23"
