"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"129","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","aiBan","Unknowable Expert","Unknowable","uni",50,71,FALSE,FALSE,"equal",NA,50,71,21,"contested","pro","con","2","2",0.5,0,54.5294,"disagrees:agrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","2"
"1.1136","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","avocado","Unknowable Expert","Unknowable","media",100,92,FALSE,FALSE,"for",FALSE,100,92,-8,"contested","pro","con","2","2",0.5,1,54.5294,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-1:TW-pro-0","29"
"1.2136","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","bank","Knowable Facts","Knowable ","media",85,0,TRUE,FALSE,"for",TRUE,15,100,85,"dependent","con",NA,"1","0",0.5,1,54.5294,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","26"
"1.329","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","beautyPageants","Unknowable Preference","Unknowable","media",60,95,FALSE,FALSE,"for",FALSE,60,95,35,"contested","pro","con","2","2",0.5,0.5,54.5294,"agrees:agrees:agrees:agrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","14"
"1.429","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","books","Unknowable Preference","Unknowable","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"contested","pro","con","2","2",0.5,1,54.5294,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","10"
"1.529","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","burningBuilding","Knowable Eyewitness",NA,"media",100,0,TRUE,FALSE,"for",TRUE,0,100,100,"independent","con",NA,"4","0",0.5,1,54.5294,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","18"
"1.629","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","chameleons","Knowable Facts","Knowable ","uni",90,100,FALSE,FALSE,"for",FALSE,90,100,10,"contested","pro","con","2","2",0.5,0.5,54.5294,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-con-1:TW-con-0","6"
"1.729","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","chessGrandmaster","Knowable Eyewitness",NA,"uni",90,100,FALSE,FALSE,"for",FALSE,90,100,10,"independent","pro",NA,"4","0",0.5,1,54.5294,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","5"
"1.829","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","cleanCoal","Unknowable Expert","Unknowable","uni",50,10,FALSE,FALSE,"equal",NA,50,90,40,"dependent","con",NA,"1","0",0.5,1,54.5294,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","9"
"1.929","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","cleopatra","Knowable Facts","Knowable ","media",0,60,TRUE,TRUE,"against",TRUE,0,60,60,"dependent","pro",NA,"1","0",0.5,1,54.5294,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","15"
"1.1029","22","5314c1a9-7dd0-4dba-902b-3bf89b955bcb","1","A","cloud","Knowable Facts","Knowable ","uni",27,0,TRUE,TRUE,"against",FALSE,27,0,-27,"contested","pro","con","2","2",0.5,1,54.5294,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-1:TW-pro-0","22"
