"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"1151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",70,69,FALSE,FALSE,"for",FALSE,70,69,-1,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","9"
"1.1903","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","dozen","Knowable Facts","Knowable ","media",45,100,TRUE,TRUE,"against",TRUE,45,100,55,"independent","pro",NA,"4","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","22"
"1.2903","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","jellyfish","Knowable Facts","Knowable ","uni",80,100,FALSE,FALSE,"for",FALSE,80,100,20,"independent","pro",NA,"4","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","6"
"1.3151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",41,45,TRUE,TRUE,"against",FALSE,41,45,4,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","19"
"1.4151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","loudestShout","Knowable Facts","Knowable ","media",20,6,FALSE,TRUE,"against",FALSE,80,94,14,"dependent","con",NA,"1","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","10"
"1.5151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","militaryService","Unknowable Preference","Unknowable","media",30,15,FALSE,TRUE,"against",FALSE,70,85,15,"independent","con",NA,"4","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","2"
"1.6151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","minorEarthquake","Knowable Eye witness","Knowable ","media",100,57,TRUE,FALSE,"for",FALSE,0,43,43,"independent","con",NA,"4","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-3:TW-con-2","0"
"1.7151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","nerd","Knowable Facts","Knowable ","media",60,90,FALSE,FALSE,"for",FALSE,60,90,30,"independent","pro",NA,"4","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","8"
"1.8151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","noSmoking","Unknowable Preference","Unknowable","media",60,55,TRUE,FALSE,"for",FALSE,40,45,5,"dependent","con",NA,"1","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-0:TW-con-1","28"
"1.9151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","oldestTree","Knowable Eye witness","Knowable ","media",49,55,TRUE,TRUE,"against",TRUE,49,55,6,"contested","pro","con","2","2",0.5,1,42.7107166666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-0:TW-pro-1:TW-con-1","16"
"1.10151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","onlineLearning","Unknowable Expert","Unknowable","media",15,18,TRUE,TRUE,"against",FALSE,15,18,3,"contested","pro","con","2","2",0.5,1,42.7107166666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-0:TW-con-1:TW-pro-0","15"
"1.11190","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","paintingFound","Knowable Eye witness","Knowable ","media",65,100,FALSE,FALSE,"for",FALSE,65,100,35,"dependent","pro",NA,"1","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","14"
"1.12167","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","plastic","Unknowable Preference","Unknowable","uni",40,43,TRUE,TRUE,"against",FALSE,40,43,3,"independent","pro",NA,"4","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","24"
"1.13154","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","pumpkin","Knowable Eye witness","Knowable ","media",60,0,TRUE,FALSE,"for",TRUE,40,100,60,"independent","con",NA,"4","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-1:TW-con-0","25"
"1.14151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","readingFiction","Unknowable Expert","Unknowable","uni",60,80,FALSE,FALSE,"for",FALSE,60,80,20,"dependent","pro",NA,"1","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","4"
"1.15151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","regulateCrypto","Unknowable Expert","Unknowable","uni",30,25,TRUE,TRUE,"against",FALSE,30,25,-5,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","11"
"1.16151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","returnTheLoot","Unknowable Preference","Unknowable","media",40,35,TRUE,TRUE,"against",FALSE,40,35,-5,"contested","pro","con","2","2",0.5,1,42.7107166666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","27"
"1.17151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","security","Unknowable Expert","Unknowable","media",85,85,TRUE,FALSE,"for",FALSE,15,15,0,"independent","con",NA,"4","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","26"
"1.18151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","shortestWar","Knowable Facts","Knowable ","media",40,35,FALSE,TRUE,"against",FALSE,60,65,5,"dependent","con",NA,"1","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","17"
"1.19151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","sinkhole","Knowable Eye witness","Knowable ","media",40,55,TRUE,TRUE,"against",TRUE,40,55,15,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","7"
"1.20151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","spaceEx","Unknowable Preference","Unknowable","uni",70,70,FALSE,FALSE,"for",FALSE,70,70,0,"dependent","pro",NA,"1","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","3"
"1.21190","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","superPower","Unknowable Preference","Unknowable","media",80,74,FALSE,FALSE,"for",FALSE,80,74,-6,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","29"
"1.22167","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","tourism","Unknowable Expert","Unknowable","media",100,95,FALSE,FALSE,"for",FALSE,100,95,-5,"contested","pro","con","2","2",0.5,1,42.7107166666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-con-1:TW-pro-1","5"
"1.23154","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","transportation","Unknowable Expert","Unknowable","uni",70,66,TRUE,FALSE,"for",FALSE,30,34,4,"dependent","con",NA,"1","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","23"
"1.24151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","venus","Knowable Facts","Knowable ","uni",0,100,TRUE,TRUE,"against",TRUE,0,100,100,"independent","pro",NA,"4","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-2:TW-pro-0","13"
"1.25151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","votingAge","Unknowable Preference","Unknowable","uni",0,0,FALSE,TRUE,"against",FALSE,100,100,0,"independent","con",NA,"4","0",0.5,1,42.7107166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-0:TW-con-1","21"
"1.26151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","warArtifact","Knowable Eye witness","Knowable ","uni",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"dependent","pro",NA,"1","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","20"
"1.27151","75","2cf133dc-3238-4bc0-ab7e-517b511bc5a7","2","A","winningCookies","Knowable Eye witness","Knowable ","media",50,100,FALSE,FALSE,"equal",NA,50,100,50,"dependent","pro",NA,"1","0",0.5,1,42.7107166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","12"
