"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"1132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","aiBan","Unknowable Expert","Unknowable","uni",44,24,TRUE,TRUE,"against",FALSE,44,24,-20,"contested","pro","con","2","2",0.5,0.75,90.4776333333333,"disagrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","10"
"1.1704","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","avocado","Unknowable Expert","Unknowable","media",50,39,FALSE,FALSE,"equal",NA,50,39,-11,"contested","pro","con","2","2",0.5,1,90.4776333333333,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","25"
"1.2704","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","bank","Knowable Facts","Knowable ","media",50,24,FALSE,FALSE,"equal",NA,50,76,26,"independent","con",NA,"4","0",0.5,1,90.4776333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","26"
"1.3132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","beautyPageants","Unknowable Preference","Unknowable","media",48,47,FALSE,TRUE,"against",FALSE,52,53,1,"independent","con",NA,"4","0",0.5,1,90.4776333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-1:TW-con-3","24"
"1.4132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","books","Unknowable Preference","Unknowable","media",47,54,TRUE,TRUE,"against",TRUE,47,54,7,"contested","pro","con","2","2",0.5,1,90.4776333333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-1:TW-con-0:TW-pro-0","11"
"1.5132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","burningBuilding","Knowable Eye witness","Knowable ","media",50,23,FALSE,FALSE,"equal",NA,50,77,27,"independent","con",NA,"4","0",0.5,1,90.4776333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","4"
"1.6132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","chameleons","Knowable Facts","Knowable ","uni",53,51,FALSE,FALSE,"for",FALSE,53,51,-2,"contested","pro","con","2","2",0.5,1,90.4776333333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","20"
"1.7132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","chessGrandmaster","Knowable Eye witness","Knowable ","uni",53,51,FALSE,FALSE,"for",FALSE,53,51,-2,"contested","pro","con","2","2",0.5,1,90.4776333333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","21"
"1.8132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","cleanCoal","Unknowable Expert","Unknowable","uni",45,22,FALSE,TRUE,"against",FALSE,55,78,23,"independent","con",NA,"4","0",0.5,1,90.4776333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","18"
"1.9132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","cleopatra","Knowable Facts","Knowable ","media",43,26,FALSE,TRUE,"against",FALSE,57,74,17,"dependent","con",NA,"1","0",0.5,1,90.4776333333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-1:TW-con-0","12"
"1.10132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","cloud","Knowable Facts","Knowable ","uni",49,26,TRUE,TRUE,"against",FALSE,49,26,-23,"contested","pro","con","2","2",0.5,1,90.4776333333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","5"
"1.11171","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","dinosaurFossil","Knowable Eye witness","Knowable ","uni",54,54,FALSE,FALSE,"for",FALSE,54,54,0,"dependent","pro",NA,"1","0",0.5,1,90.4776333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","16"
"1.12148","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","dogsOrCats","Unknowable Preference","Unknowable","uni",50,50,FALSE,FALSE,"equal",NA,50,50,0,"independent","pro",NA,"4","0",0.5,1,90.4776333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-0:TW-pro-3","9"
"1.13135","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","duckQuack","Knowable Facts","Knowable ","uni",45,50,TRUE,TRUE,"against",FALSE,45,50,5,"dependent","pro",NA,"1","0",0.5,1,90.4776333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-1:TW-pro-2","19"
"1.14132","72","993abf7f-1bbe-4a30-8fcc-f24faff5aac7","1","A","ducks","Knowable Eye witness","Knowable ","media",50,70,FALSE,FALSE,"equal",NA,50,70,20,"independent","pro",NA,"4","0",0.5,1,90.4776333333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","1"
