"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"11","2","d7914378-af84-41de-b912-927fb01397d6","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",61,65,FALSE,FALSE,"for",FALSE,61,65,4,"contested","pro","con","2","2",0.5,1,51.7091166666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","29"
"1.110","2","d7914378-af84-41de-b912-927fb01397d6","1","B","dozen","Knowable Facts","Knowable ","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"independent","pro",NA,"4","0",0.5,1,51.7091166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","23"
"1.210","2","d7914378-af84-41de-b912-927fb01397d6","1","B","jellyfish","Knowable Facts","Knowable ","uni",80,0,TRUE,FALSE,"for",TRUE,20,100,80,"dependent","con",NA,"1","0",0.5,1,51.7091166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","8"
"1.31","2","d7914378-af84-41de-b912-927fb01397d6","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",15,70,TRUE,TRUE,"against",TRUE,15,70,55,"dependent","pro",NA,"1","0",0.5,1,51.7091166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-0:TW-pro-1:TW-pro-3","14"
"1.41","2","d7914378-af84-41de-b912-927fb01397d6","1","B","loudestShout","Knowable Facts","Knowable ","media",70,50,FALSE,FALSE,"for",FALSE,70,50,-20,"contested","pro","con","2","2",0.5,1,51.7091166666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","9"
"1.51","2","d7914378-af84-41de-b912-927fb01397d6","1","B","militaryService","Unknowable Preference","Unknowable","media",36,50,TRUE,TRUE,"against",FALSE,36,50,14,"contested","pro","con","2","2",0.5,0.75,51.7091166666667,"agrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-0:TW-pro-1","24"
"1.61","2","d7914378-af84-41de-b912-927fb01397d6","1","B","minorEarthquake","Knowable Eyewitness",NA,"media",40,75,TRUE,TRUE,"against",TRUE,40,75,35,"independent","pro",NA,"4","0",0.5,1,51.7091166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","13"
"1.71","2","d7914378-af84-41de-b912-927fb01397d6","1","B","nerd","Knowable Facts","Knowable ","media",29,19,TRUE,TRUE,"against",FALSE,29,19,-10,"contested","pro","con","2","2",0.5,1,51.7091166666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","7"
"1.81","2","d7914378-af84-41de-b912-927fb01397d6","1","B","noSmoking","Unknowable Preference","Unknowable","media",100,100,TRUE,FALSE,"for",FALSE,0,0,0,"dependent","con",NA,"1","0",0.5,1,51.7091166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","11"
"1.91","2","d7914378-af84-41de-b912-927fb01397d6","1","B","oldestTree","Knowable Eyewitness",NA,"media",55,14,TRUE,FALSE,"for",TRUE,45,86,41,"independent","con",NA,"4","0",0.5,0.5,51.7091166666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","15"
