"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"138","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",55,35,FALSE,FALSE,"for",TRUE,55,35,-20,"contested","pro","con","2","2",0.5,1,38.3621666666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-0:TW-con-1:TW-pro-1","29"
"1.1154","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","dozen","Knowable Facts","Knowable ","media",60,80,FALSE,FALSE,"for",FALSE,60,80,20,"dependent","pro",NA,"1","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-3:TW-pro-1","13"
"1.2154","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","jellyfish","Knowable Facts","Knowable ","uni",55,75,FALSE,FALSE,"for",FALSE,55,75,20,"independent","pro",NA,"4","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","2"
"1.338","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",40,45,TRUE,TRUE,"against",FALSE,40,45,5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","7"
"1.438","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","loudestShout","Knowable Facts","Knowable ","media",40,60,TRUE,TRUE,"against",TRUE,40,60,20,"dependent","pro",NA,"1","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-1:TW-pro-2","16"
"1.538","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","militaryService","Unknowable Preference","Unknowable","media",60,55,FALSE,FALSE,"for",FALSE,60,55,-5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-1:TW-pro-0:TW-con-1","26"
"1.638","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","minorEarthquake","Knowable Eyewitness",NA,"media",60,10,TRUE,FALSE,"for",TRUE,40,90,50,"independent","con",NA,"4","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","24"
"1.738","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","nerd","Knowable Facts","Knowable ","media",60,70,FALSE,FALSE,"for",FALSE,60,70,10,"independent","pro",NA,"4","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","11"
"1.838","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","noSmoking","Unknowable Preference","Unknowable","media",30,45,FALSE,TRUE,"against",FALSE,70,55,-15,"dependent","con",NA,"1","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","15"
"1.938","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","oldestTree","Knowable Eyewitness",NA,"media",55,45,FALSE,FALSE,"for",TRUE,55,45,-10,"contested","pro","con","2","2",0.5,1,38.3621666666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","14"
"1.1038","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","onlineLearning","Unknowable Expert","Unknowable","media",60,55,FALSE,FALSE,"for",FALSE,60,55,-5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-0:TW-pro-1","3"
"1.1155","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","paintingFound","Knowable Eyewitness",NA,"media",60,75,FALSE,FALSE,"for",FALSE,60,75,15,"dependent","pro",NA,"1","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","0"
"1.1240","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","plastic","Unknowable Preference","Unknowable","uni",70,50,TRUE,FALSE,"for",FALSE,30,50,20,"dependent","con",NA,"1","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","12"
"1.1338","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","pumpkin","Knowable Eyewitness",NA,"media",55,35,FALSE,FALSE,"for",TRUE,55,35,-20,"contested","pro","con","2","2",0.5,1,38.3621666666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","21"
"1.1438","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","readingFiction","Unknowable Expert","Unknowable","uni",60,70,FALSE,FALSE,"for",FALSE,60,70,10,"contested","pro","con","2","2",0.5,1,38.3621666666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","27"
"1.1538","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","regulateCrypto","Unknowable Expert","Unknowable","uni",80,45,TRUE,FALSE,"for",TRUE,20,55,35,"independent","con",NA,"4","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-3:TW-con-0","22"
"1.1638","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","returnTheLoot","Unknowable Preference","Unknowable","media",70,85,FALSE,FALSE,"for",FALSE,70,85,15,"independent","pro",NA,"4","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-0:TW-pro-3:TW-pro-1","17"
"1.1738","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","security","Unknowable Expert","Unknowable","media",60,55,TRUE,FALSE,"for",FALSE,40,45,5,"dependent","con",NA,"1","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","18"
"1.1838","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","shortestWar","Knowable Facts","Knowable ","media",55,60,FALSE,FALSE,"for",FALSE,55,60,5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","19"
"1.1938","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","sinkhole","Knowable Eyewitness",NA,"media",55,70,FALSE,FALSE,"for",FALSE,55,70,15,"dependent","pro",NA,"1","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-0:TW-pro-3","9"
"1.2038","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","spaceEx","Unknowable Preference","Unknowable","uni",60,40,TRUE,FALSE,"for",TRUE,40,60,20,"independent","con",NA,"4","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","23"
"1.2155","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","superPower","Unknowable Preference","Unknowable","media",30,35,TRUE,TRUE,"against",FALSE,30,35,5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-0:TW-pro-1:TW-con-0:TW-con-1","6"
"1.2240","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","tourism","Unknowable Expert","Unknowable","media",60,65,FALSE,FALSE,"for",FALSE,60,65,5,"contested","pro","con","2","2",0.5,1,38.3621666666667,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-0:TW-pro-1:TW-con-1","25"
"1.2338","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","transportation","Unknowable Expert","Unknowable","uni",60,80,FALSE,FALSE,"for",FALSE,60,80,20,"dependent","pro",NA,"1","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-0:TW-pro-3:TW-pro-1","1"
"1.2438","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","venus","Knowable Facts","Knowable ","uni",40,65,TRUE,TRUE,"against",TRUE,40,65,25,"independent","pro",NA,"4","0",0.5,1,38.3621666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","5"
"1.2538","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","votingAge","Unknowable Preference","Unknowable","uni",40,20,FALSE,TRUE,"against",FALSE,60,80,20,"dependent","con",NA,"1","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","4"
"1.2638","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","warArtifact","Knowable Eyewitness",NA,"uni",46,10,FALSE,TRUE,"against",FALSE,54,90,36,"independent","con",NA,"4","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-1:TW-con-3","20"
"1.2738","30","9e1c3b28-8942-4f67-83aa-c8ce7e550445","2","A","winningCookies","Knowable Eyewitness",NA,"media",45,0,FALSE,TRUE,"against",FALSE,55,100,45,"dependent","con",NA,"1","0",0.5,1,38.3621666666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","28"
