"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"137","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","artsAndCulture","Unknowable Preference","Unknowable","uni",69,51,TRUE,FALSE,"for",FALSE,31,49,18,"dependent","con",NA,"1","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","3"
"1.1152","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","dozen","Knowable Facts","Knowable ","media",100,100,FALSE,FALSE,"for",FALSE,100,100,0,"dependent","pro",NA,"1","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","25"
"1.2152","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","jellyfish","Knowable Facts","Knowable ","uni",60,21,TRUE,FALSE,"for",TRUE,40,79,39,"independent","con",NA,"4","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","10"
"1.337","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","longestWithoutSleep","Knowable Facts","Knowable ","media",14,13,TRUE,TRUE,"against",FALSE,14,13,-1,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","9"
"1.437","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","loudestShout","Knowable Facts","Knowable ","media",80,88,FALSE,FALSE,"for",FALSE,80,88,8,"dependent","pro",NA,"1","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-1:TW-pro-3:TW-pro-0","21"
"1.537","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","militaryService","Unknowable Preference","Unknowable","media",0,0,TRUE,TRUE,"against",FALSE,0,0,0,"dependent","pro",NA,"1","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","29"
"1.637","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","minorEarthquake","Knowable Eyewitness","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","6"
"1.737","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","nerd","Knowable Facts","Knowable ","media",50,40,FALSE,FALSE,"equal",NA,50,60,10,"dependent","con",NA,"1","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","8"
"1.837","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","noSmoking","Unknowable Preference","Unknowable","media",19,19,TRUE,TRUE,"against",FALSE,19,19,0,"dependent","pro",NA,"1","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-2:TW-pro-3:TW-pro-0:TW-pro-1","20"
"1.937","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","oldestTree","Knowable Eyewitness","Knowable ","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"dependent","pro",NA,"1","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","26"
"1.1037","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","onlineLearning","Unknowable Expert","Unknowable","media",74,45,TRUE,FALSE,"for",TRUE,26,55,29,"dependent","con",NA,"1","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","15"
"1.1153","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","paintingFound","Knowable Eyewitness","Knowable ","media",73,31,TRUE,FALSE,"for",TRUE,27,69,42,"independent","con",NA,"4","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-2:TW-con-0","16"
"1.1239","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","plastic","Unknowable Preference","Unknowable","uni",34,31,TRUE,TRUE,"against",FALSE,34,31,-3,"contested","pro","con","2","2",0.5,1,28.6170833333333,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","17"
"1.1337","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","pumpkin","Knowable Eyewitness","Knowable ","media",68,50,TRUE,FALSE,"for",FALSE,32,50,18,"dependent","con",NA,"1","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-2:TW-con-3","13"
"1.1437","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","readingFiction","Unknowable Expert","Unknowable","uni",86,90,FALSE,FALSE,"for",FALSE,86,90,4,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","28"
"1.1537","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","regulateCrypto","Unknowable Expert","Unknowable","uni",17,14,TRUE,TRUE,"against",FALSE,17,14,-3,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-1:TW-con-0:TW-con-1:TW-pro-0","1"
"1.1637","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","returnTheLoot","Unknowable Preference","Unknowable","media",15,13,TRUE,TRUE,"against",FALSE,15,13,-2,"independent","pro",NA,"4","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-1:TW-pro-2","11"
"1.1737","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","security","Unknowable Expert","Unknowable","media",98,100,FALSE,FALSE,"for",FALSE,98,100,2,"independent","pro",NA,"4","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","0"
"1.1837","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","shortestWar","Knowable Facts","Knowable ","media",62,80,FALSE,FALSE,"for",FALSE,62,80,18,"independent","pro",NA,"4","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","24"
"1.1937","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","sinkhole","Knowable Eyewitness","Knowable ","media",75,100,FALSE,FALSE,"for",FALSE,75,100,25,"independent","pro",NA,"4","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-3:TW-pro-0","18"
"1.2037","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","spaceEx","Unknowable Preference","Unknowable","uni",34,37,TRUE,TRUE,"against",FALSE,34,37,3,"contested","pro","con","2","2",0.5,1,28.6170833333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-0:TW-pro-1:TW-pro-0:TW-con-1","5"
"1.2153","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","superPower","Unknowable Preference","Unknowable","media",8,6,FALSE,TRUE,"against",FALSE,92,94,2,"independent","con",NA,"4","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-1:TW-con-2","4"
"1.2239","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","tourism","Unknowable Expert","Unknowable","media",85,86,FALSE,FALSE,"for",FALSE,85,86,1,"contested","pro","con","2","2",0.5,1,28.6170833333333,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","12"
"1.2337","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","transportation","Unknowable Expert","Unknowable","uni",23,20,TRUE,TRUE,"against",FALSE,23,20,-3,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-0:TW-con-1","2"
"1.2437","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","venus","Knowable Facts","Knowable ","uni",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,28.6170833333333,"disagrees:agrees:agrees:disagrees","TW-0:TW-con-1:TW-pro-0:TW-pro-1:TW-con-0","23"
"1.2537","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","votingAge","Unknowable Preference","Unknowable","uni",0,0,TRUE,TRUE,"against",FALSE,0,0,0,"independent","pro",NA,"4","0",0.5,1,28.6170833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","27"
"1.2637","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","warArtifact","Knowable Eyewitness","Knowable ","uni",74,50,TRUE,FALSE,"for",FALSE,26,50,24,"independent","con",NA,"4","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","14"
"1.2737","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","winningCookies","Knowable Eyewitness","Knowable ","media",77,24,TRUE,FALSE,"for",TRUE,23,76,53,"independent","con",NA,"4","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-2:TW-con-3","19"
"1.2837","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","workFromHome","Unknowable Expert","Unknowable","uni",91,89,FALSE,FALSE,"for",FALSE,91,89,-2,"contested","pro","con","2","2",0.5,1,28.6170833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","22"
"1.2937","29","294671ba-ce31-4ab3-b597-548b28708a80","2","A","writeOrType","Unknowable Expert","Unknowable","media",50,53,FALSE,FALSE,"equal",NA,50,47,-3,"dependent","con",NA,"1","0",0.5,1,28.6170833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-0:TW-con-2:TW-con-3","7"
"145","29","294671ba-ce31-4ab3-b597-548b28708a80","1","A","aiBan","Unknowable Expert","Unknowable","uni",95,94,FALSE,FALSE,"for",FALSE,95,94,-1,"independent","pro",NA,"4","0",0.5,1,27.6850666666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","8"
