"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"1149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",10,75,TRUE,TRUE,"against",TRUE,10,75,65,"independent","pro",NA,"4","0",0.5,1,33.1831,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-2:TW-pro-1","2"
"1.1901","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","dozen","Knowable Facts","Knowable ","media",95,100,FALSE,FALSE,"for",FALSE,95,100,5,"contested","pro","con","2","2",0.5,1,33.1831,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-1:TW-pro-0:TW-con-0","25"
"1.2901","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","jellyfish","Knowable Facts","Knowable ","uni",10,50,FALSE,TRUE,"against",FALSE,90,50,-40,"independent","con",NA,"4","0",0.5,0,33.1831,"agrees:agrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-con-3:TW-con-2","1"
"1.3149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",20,15,FALSE,TRUE,"against",FALSE,80,85,5,"independent","con",NA,"4","0",0.5,1,33.1831,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","28"
"1.4149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","loudestShout","Knowable Facts","Knowable ","media",60,40,FALSE,FALSE,"for",TRUE,60,40,-20,"contested","pro","con","2","2",0.5,1,33.1831,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","9"
"1.5149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","militaryService","Unknowable Preference","Unknowable","media",20,20,FALSE,TRUE,"against",FALSE,80,80,0,"dependent","con",NA,"1","0",0.5,1,33.1831,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-2:TW-con-0:TW-con-1","20"
"1.6149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","minorEarthquake","Knowable Eyewitness","Knowable ","media",70,5,TRUE,FALSE,"for",TRUE,30,95,65,"independent","con",NA,"4","0",0.5,1,33.1831,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","12"
"1.7149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","nerd","Knowable Facts","Knowable ","media",70,20,TRUE,FALSE,"for",TRUE,30,80,50,"dependent","con",NA,"1","0",0.5,1,33.1831,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-1:TW-con-2","11"
"1.8149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","noSmoking","Unknowable Preference","Unknowable","media",0,0,TRUE,TRUE,"against",FALSE,0,0,0,"contested","pro","con","2","2",0.5,1,33.1831,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-1:TW-con-0:TW-pro-1:TW-pro-0","26"
"1.9149","74","373b780e-9230-45b8-a2f1-e45874a3a96e","1","B","oldestTree","Knowable Eyewitness","Knowable ","media",80,100,FALSE,FALSE,"for",FALSE,80,100,20,"independent","pro",NA,"4","0",0.5,1,33.1831,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-2:TW-pro-3","15"
