"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"13","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","artsAndCulture","Unknowable Preference","Unknowable","uni",68,53,FALSE,FALSE,"for",FALSE,68,53,-15,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-1:TW-pro-1:TW-con-0","6"
"1.114","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","dozen","Knowable Facts","Knowable ","media",26,76,TRUE,TRUE,"against",TRUE,26,76,50,"independent","pro",NA,"4","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","8"
"1.214","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","jellyfish","Knowable Facts","Knowable ","uni",60,48,FALSE,FALSE,"for",TRUE,60,48,-12,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-1:TW-con-0","29"
"1.33","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","longestWithoutSleep","Knowable Facts","Knowable ","media",30,43,TRUE,TRUE,"against",FALSE,30,43,13,"independent","pro",NA,"4","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-0:TW-pro-2:TW-pro-1","2"
"1.43","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","loudestShout","Knowable Facts","Knowable ","media",71,41,TRUE,FALSE,"for",TRUE,29,59,30,"dependent","con",NA,"1","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-2:TW-con-3","15"
"1.53","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","militaryService","Unknowable Preference","Unknowable","media",61,69,FALSE,FALSE,"for",FALSE,61,69,8,"contested","pro","con","2","2",0.5,0.75,32.6725833333333,"disagrees:agrees:agrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","10"
"1.63","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","minorEarthquake","Knowable Eyewitness",NA,"media",75,53,TRUE,FALSE,"for",FALSE,25,47,22,"dependent","con",NA,"1","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","18"
"1.73","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","nerd","Knowable Facts","Knowable ","media",49,67,TRUE,TRUE,"against",TRUE,49,67,18,"independent","pro",NA,"4","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-0:TW-pro-1","20"
"1.83","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","noSmoking","Unknowable Preference","Unknowable","media",65,45,TRUE,FALSE,"for",TRUE,35,55,20,"independent","con",NA,"4","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-3:TW-con-0","25"
"1.93","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","oldestTree","Knowable Eyewitness",NA,"media",59,43,FALSE,FALSE,"for",TRUE,59,43,-16,"contested","pro","con","2","2",0.5,1,32.6725833333333,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-0:TW-pro-1","9"
"1.103","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","onlineLearning","Unknowable Expert","Unknowable","media",31,19,TRUE,TRUE,"against",FALSE,31,19,-12,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-0:TW-con-1:TW-pro-1","0"
"1.115","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","paintingFound","Knowable Eyewitness",NA,"media",67,78,FALSE,FALSE,"for",FALSE,67,78,11,"contested","pro","con","2","2",0.5,0.75,32.6725833333333,"disagrees:agrees:agrees:agrees","TW-0:TW-con-1:TW-pro-1:TW-pro-0:TW-con-0","1"
"1.123","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","plastic","Unknowable Preference","Unknowable","uni",77,47,TRUE,FALSE,"for",TRUE,23,53,30,"independent","con",NA,"4","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-3:TW-con-2:TW-con-0","12"
"1.133","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","pumpkin","Knowable Eyewitness",NA,"media",80,66,FALSE,FALSE,"for",FALSE,80,66,-14,"contested","pro","con","2","2",0.5,1,32.6725833333333,"disagrees:disagrees:agrees:agrees","TW-0:TW-con-0:TW-con-1:TW-pro-1:TW-pro-0","22"
"1.143","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","readingFiction","Unknowable Expert","Unknowable","uni",36,18,FALSE,TRUE,"against",FALSE,64,82,18,"dependent","con",NA,"1","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-3:TW-con-1","19"
"1.153","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","regulateCrypto","Unknowable Expert","Unknowable","uni",73,63,TRUE,FALSE,"for",FALSE,27,37,10,"independent","con",NA,"4","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-3:TW-con-2:TW-con-1","11"
"1.163","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","returnTheLoot","Unknowable Preference","Unknowable","media",71,81,FALSE,FALSE,"for",FALSE,71,81,10,"dependent","pro",NA,"1","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","28"
"1.173","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","security","Unknowable Expert","Unknowable","media",65,83,FALSE,FALSE,"for",FALSE,65,83,18,"independent","pro",NA,"4","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-3:TW-pro-0:TW-pro-2","3"
"1.183","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","shortestWar","Knowable Facts","Knowable ","media",53,71,FALSE,FALSE,"for",FALSE,53,71,18,"independent","pro",NA,"4","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-2:TW-pro-1","21"
"1.193","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","sinkhole","Knowable Eyewitness",NA,"media",72,80,FALSE,FALSE,"for",FALSE,72,80,8,"dependent","pro",NA,"1","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","16"
"1.203","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","spaceEx","Unknowable Preference","Unknowable","uni",67,45,TRUE,FALSE,"for",TRUE,33,55,22,"independent","con",NA,"4","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","14"
"1.215","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","superPower","Unknowable Preference","Unknowable","media",60,35,FALSE,FALSE,"for",TRUE,60,35,-25,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:agrees:disagrees:disagrees","TW-0:TW-pro-1:TW-pro-0:TW-con-0:TW-con-1","26"
"1.223","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","tourism","Unknowable Expert","Unknowable","media",78,80,FALSE,FALSE,"for",FALSE,78,80,2,"dependent","pro",NA,"1","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-3:TW-pro-1:TW-pro-2","17"
"1.233","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","transportation","Unknowable Expert","Unknowable","uni",65,72,FALSE,FALSE,"for",FALSE,65,72,7,"dependent","pro",NA,"1","0",0.5,1,32.6725833333333,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-2:TW-pro-1:TW-pro-0","23"
"1.243","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","venus","Knowable Facts","Knowable ","uni",33,12,FALSE,TRUE,"against",FALSE,67,88,21,"dependent","con",NA,"1","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-1:TW-con-2:TW-con-3","4"
"1.253","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","votingAge","Unknowable Preference","Unknowable","uni",31,53,TRUE,TRUE,"against",TRUE,31,53,22,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","13"
"1.263","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","warArtifact","Knowable Eyewitness",NA,"uni",71,55,FALSE,FALSE,"for",FALSE,71,55,-16,"contested","pro","con","2","2",0.5,1,32.6725833333333,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","27"
"1.273","3","b98a976d-5111-4192-a75f-51fe2ac29881","1","B","winningCookies","Knowable Eyewitness",NA,"media",82,45,TRUE,FALSE,"for",TRUE,18,55,37,"dependent","con",NA,"1","0",0.5,1,32.6725833333333,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-1:TW-con-2:TW-con-0:TW-con-3","7"
