"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"151","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","aiBan","Unknowable Expert","Unknowable","uni",70,70,FALSE,FALSE,"for",FALSE,70,70,0,"dependent","pro",NA,"1","0",0.5,1,21.0923,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-2:TW-pro-1:TW-pro-3","21"
"1.1180","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","avocado","Unknowable Expert","Unknowable","media",50,80,FALSE,FALSE,"equal",NA,50,80,30,"independent","pro",NA,"4","0",0.5,1,21.0923,"agrees:agrees:agrees:agrees","TW-0:TW-pro-0:TW-pro-1:TW-pro-3:TW-pro-2","3"
"1.2180","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","bank","Knowable Facts","Knowable ","media",50,30,FALSE,FALSE,"equal",NA,50,70,20,"dependent","con",NA,"1","0",0.5,1,21.0923,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-0:TW-con-1","26"
"1.351","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","beautyPageants","Unknowable Preference","Unknowable","media",50,50,FALSE,FALSE,"equal",NA,50,50,0,"contested","pro","con","2","2",0.5,1,21.0923,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-0:TW-pro-1:TW-con-1:TW-pro-0","22"
"1.451","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","books","Unknowable Preference","Unknowable","media",5,10,TRUE,TRUE,"against",FALSE,5,10,5,"contested","pro","con","2","2",0.5,1,21.0923,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-0:TW-con-0:TW-pro-1:TW-con-1","5"
"1.551","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","burningBuilding","Knowable Eye witness","Knowable ","media",50,70,FALSE,FALSE,"equal",NA,50,70,20,"dependent","pro",NA,"1","0",0.5,1,21.0923,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-0:TW-pro-2","4"
"1.651","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","chameleons","Knowable Facts","Knowable ","uni",60,40,TRUE,FALSE,"for",TRUE,40,60,20,"dependent","con",NA,"1","0",0.5,1,21.0923,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-0:TW-con-1:TW-con-3","17"
"1.751","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","chessGrandmaster","Knowable Eye witness","Knowable ","uni",25,62,TRUE,TRUE,"against",TRUE,25,62,37,"dependent","pro",NA,"1","0",0.5,1,21.0923,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-0:TW-pro-2","27"
"1.851","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","cleanCoal","Unknowable Expert","Unknowable","uni",40,45,TRUE,TRUE,"against",FALSE,40,45,5,"contested","pro","con","2","2",0.5,1,21.0923,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","8"
"1.951","39","d3f4cd12-9920-42c1-a753-dc44053f6e99","1","A","cleopatra","Knowable Facts","Knowable ","media",35,15,FALSE,TRUE,"against",FALSE,65,85,20,"dependent","con",NA,"1","0",0.5,1,21.0923,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-0:TW-con-2:TW-con-3:TW-con-1","9"
